id,name,parent_id,created_at,updated_at,deleted_at
1,Badung,1,2023-01-27 03:46:29,2023-01-27 03:46:29,
2,Bangli,1,2023-01-27 03:46:29,2023-01-27 03:46:29,
3,Buleleng,1,2023-01-27 03:46:29,2023-01-27 03:46:29,
4,Denpasar,1,2023-01-27 03:46:29,2023-01-27 03:46:29,
5,Gianyar,1,2023-01-27 03:46:29,2023-01-27 03:46:29,
6,Jembrana,1,2023-01-27 03:46:29,2023-01-27 03:46:29,
7,Karangasem,1,2023-01-27 03:46:29,2023-01-27 03:46:29,
8,Klungkung,1,2023-01-27 03:46:29,2023-01-27 03:46:29,
9,Tabanan,1,2023-01-27 03:46:29,2023-01-27 03:46:29,
10,Cilegon,2,2023-01-27 03:46:29,2023-01-27 03:46:29,
11,Lebak,2,2023-01-27 03:46:29,2023-01-27 03:46:29,
12,Pandeglang,2,2023-01-27 03:46:29,2023-01-27 03:46:29,
13,Serang,2,2023-01-27 03:46:29,2023-01-27 03:46:29,
14,Kab. Serang,2,2023-01-27 03:46:29,2023-01-27 03:46:29,
15,Tangerang,2,2023-01-27 03:46:29,2023-01-27 03:46:29,
16,Kab. Tangerang,2,2023-01-27 03:46:29,2023-01-27 03:46:29,
17,Tangerang Selatan,2,2023-01-27 03:46:29,2023-01-27 03:46:29,
18,Bengkulu,3,2023-01-27 03:46:29,2023-01-27 03:46:29,
19,Bengkulu Selatan,3,2023-01-27 03:46:29,2023-01-27 03:46:29,
20,Bengkulu Tengah,3,2023-01-27 03:46:29,2023-01-27 03:46:29,
21,Bengkulu Utara,3,2023-01-27 03:46:29,2023-01-27 03:46:29,
22,Kaur,3,2023-01-27 03:46:29,2023-01-27 03:46:29,
23,Kepahiang,3,2023-01-27 03:46:29,2023-01-27 03:46:29,
24,Lebong,3,2023-01-27 03:46:29,2023-01-27 03:46:29,
25,Mukomuko,3,2023-01-27 03:46:29,2023-01-27 03:46:29,
26,Rejang Lebong,3,2023-01-27 03:46:29,2023-01-27 03:46:29,
27,Seluma,3,2023-01-27 03:46:29,2023-01-27 03:46:29,
28,Bantul,4,2023-01-27 03:46:29,2023-01-27 03:46:29,
29,Gunung Kidul,4,2023-01-27 03:46:29,2023-01-27 03:46:29,
30,Kulon Progo,4,2023-01-27 03:46:29,2023-01-27 03:46:29,
31,Sleman,4,2023-01-27 03:46:29,2023-01-27 03:46:29,
32,Yogyakarta,4,2023-01-27 03:46:29,2023-01-27 03:46:29,
33,Jakarta Barat,5,2023-01-27 03:46:29,2023-01-27 03:46:29,
34,Jakarta Pusat,5,2023-01-27 03:46:29,2023-01-27 03:46:29,
35,Jakarta Selatan,5,2023-01-27 03:46:29,2023-01-27 03:46:29,
36,Jakarta Timur,5,2023-01-27 03:46:29,2023-01-27 03:46:29,
37,Jakarta Utara,5,2023-01-27 03:46:29,2023-01-27 03:46:29,
38,Kepulauan Seribu,5,2023-01-27 03:46:29,2023-01-27 03:46:29,
39,Boalemo,6,2023-01-27 03:46:29,2023-01-27 03:46:29,
40,Bone Bolango,6,2023-01-27 03:46:29,2023-01-27 03:46:29,
