id,name,parent_id,created_at,updated_at,deleted_at
1,Abiansemal,1,2023-01-27 03:46:38,2023-01-27 03:46:38,
2,Kuta,1,2023-01-27 03:46:38,2023-01-27 03:46:38,
3,Kuta Selatan,1,2023-01-27 03:46:38,2023-01-27 03:46:38,
4,Kuta Utara,1,2023-01-27 03:46:38,2023-01-27 03:46:38,
5,Menguwi,1,2023-01-27 03:46:38,2023-01-27 03:46:38,
6,Ngurah Rai,1,2023-01-27 03:46:38,2023-01-27 03:46:38,
7,Petang,1,2023-01-27 03:46:39,2023-01-27 03:46:39,
8,Bangli,2,2023-01-27 03:46:39,2023-01-27 03:46:39,
9,Kintamani,2,2023-01-27 03:46:39,2023-01-27 03:46:39,
10,Susut,2,2023-01-27 03:46:39,2023-01-27 03:46:39,
11,Tembuku,2,2023-01-27 03:46:39,2023-01-27 03:46:39,
12,Banjar,3,2023-01-27 03:46:39,2023-01-27 03:46:39,
13,Buleleng,3,2023-01-27 03:46:39,2023-01-27 03:46:39,
14,Busung Biu,3,2023-01-27 03:46:39,2023-01-27 03:46:39,
15,Gerokgak,3,2023-01-27 03:46:39,2023-01-27 03:46:39,
16,Kubutambahan,3,2023-01-27 03:46:39,2023-01-27 03:46:39,
17,Sawan,3,2023-01-27 03:46:39,2023-01-27 03:46:39,
18,Seririt,3,2023-01-27 03:46:39,2023-01-27 03:46:39,
19,Sukasada,3,2023-01-27 03:46:39,2023-01-27 03:46:39,
20,Tejakula,3,2023-01-27 03:46:39,2023-01-27 03:46:39,
21,Denpasar,4,2023-01-27 03:46:39,2023-01-27 03:46:39,
22,Denpasar Barat,4,2023-01-27 03:46:39,2023-01-27 03:46:39,
23,Denpasar Selatan,4,2023-01-27 03:46:39,2023-01-27 03:46:39,
24,Denpasar Timur,4,2023-01-27 03:46:39,2023-01-27 03:46:39,
25,Denpasar Utara,4,2023-01-27 03:46:39,2023-01-27 03:46:39,
26,Blahbatuh,5,2023-01-27 03:46:39,2023-01-27 03:46:39,
27,Gianyar,5,2023-01-27 03:46:39,2023-01-27 03:46:39,
28,Payangan,5,2023-01-27 03:46:39,2023-01-27 03:46:39,
29,Sukawati,5,2023-01-27 03:46:39,2023-01-27 03:46:39,
30,Tampaksiring,5,2023-01-27 03:46:39,2023-01-27 03:46:39,
31,Tegal Lalang,5,2023-01-27 03:46:39,2023-01-27 03:46:39,
32,Ubud,5,2023-01-27 03:46:39,2023-01-27 03:46:39,
33,Jembrana,6,2023-01-27 03:46:39,2023-01-27 03:46:39,
34,Melaya,6,2023-01-27 03:46:39,2023-01-27 03:46:39,
35,Mendoyo,6,2023-01-27 03:46:39,2023-01-27 03:46:39,
36,Negara,6,2023-01-27 03:46:39,2023-01-27 03:46:39,
37,Pekutatan,6,2023-01-27 03:46:39,2023-01-27 03:46:39,
38,Abang,7,2023-01-27 03:46:39,2023-01-27 03:46:39,
39,Bebandem,7,2023-01-27 03:46:39,2023-01-27 03:46:39,
40,Karangasem,7,2023-01-27 03:46:39,2023-01-27 03:46:39,
41,Kubu,7,2023-01-27 03:46:39,2023-01-27 03:46:39,
42,Manggis,7,2023-01-27 03:46:39,2023-01-27 03:46:39,
43,Rendang,7,2023-01-27 03:46:39,2023-01-27 03:46:39,
44,Selat,7,2023-01-27 03:46:39,2023-01-27 03:46:39,
45,Sidemen,7,2023-01-27 03:46:39,2023-01-27 03:46:39,
46,Banjarangkan,8,2023-01-27 03:46:39,2023-01-27 03:46:39,
47,Dawan,8,2023-01-27 03:46:39,2023-01-27 03:46:39,
48,Klungkung,8,2023-01-27 03:46:39,2023-01-27 03:46:39,
49,Nusapenida,8,2023-01-27 03:46:39,2023-01-27 03:46:39,
50,Baturiti,9,2023-01-27 03:46:39,2023-01-27 03:46:39,
51,Kediri,9,2023-01-27 03:46:39,2023-01-27 03:46:39,
52,Kerambitan,9,2023-01-27 03:46:39,2023-01-27 03:46:39,
53,Marga,9,2023-01-27 03:46:39,2023-01-27 03:46:39,
54,Penebel,9,2023-01-27 03:46:39,2023-01-27 03:46:39,
55,Pupuan,9,2023-01-27 03:46:39,2023-01-27 03:46:39,
56,Selemadeg,9,2023-01-27 03:46:39,2023-01-27 03:46:39,
57,Selemadeg Barat,9,2023-01-27 03:46:39,2023-01-27 03:46:39,
58,Selemadeg Timur,9,2023-01-27 03:46:39,2023-01-27 03:46:39,
