id,name,created_at,updated_at,deleted_at
1,Bali,2023-01-27 03:46:28,2023-01-27 03:46:28,
2,Banten,2023-01-27 03:46:28,2023-01-27 03:46:28,
3,Bengkulu,2023-01-27 03:46:28,2023-01-27 03:46:28,
4,Daerah Istimewa Yogyakarta,2023-01-27 03:46:28,2023-01-27 03:46:28,
5,DKI Jakarta,2023-01-27 03:46:28,2023-01-27 03:46:28,
6,Gorontalo,2023-01-27 03:46:28,2023-01-27 03:46:28,
7,Jambi,2023-01-27 03:46:28,2023-01-27 03:46:28,
8,Jawa Barat,2023-01-27 03:46:28,2023-01-27 03:46:28,
9,Jawa Tengah,2023-01-27 03:46:28,2023-01-27 03:46:28,
10,Jawa Timur,2023-01-27 03:46:28,2023-01-27 03:46:28,
11,Kalimantan Barat,2023-01-27 03:46:28,2023-01-27 03:46:28,
12,Kalimantan Selatan,2023-01-27 03:46:28,2023-01-27 03:46:28,
13,Kalimantan Tengah,2023-01-27 03:46:28,2023-01-27 03:46:28,
14,Kalimantan Timur,2023-01-27 03:46:28,2023-01-27 03:46:28,
15,Kalimantan Utara,2023-01-27 03:46:28,2023-01-27 03:46:28,
16,Kepulauan Bangka Belitung,2023-01-27 03:46:28,2023-01-27 03:46:28,
17,Kepulauan Riau,2023-01-27 03:46:28,2023-01-27 03:46:28,
18,Lampung,2023-01-27 03:46:28,2023-01-27 03:46:28,
19,Maluku,2023-01-27 03:46:28,2023-01-27 03:46:28,
20,Maluku Utara,2023-01-27 03:46:28,2023-01-27 03:46:28,
21,Nanggroe Aceh Darussalam,2023-01-27 03:46:28,2023-01-27 03:46:28,
22,Nusa Tenggara Barat,2023-01-27 03:46:28,2023-01-27 03:46:28,
23,Nusa Tenggara Timur,2023-01-27 03:46:28,2023-01-27 03:46:28,
24,Papua,2023-01-27 03:46:28,2023-01-27 03:46:28,
25,Papua Barat,2023-01-27 03:46:29,2023-01-27 03:46:29,
26,Riau,2023-01-27 03:46:29,2023-01-27 03:46:29,
27,Sulawesi Barat,2023-01-27 03:46:29,2023-01-27 03:46:29,
28,Sulawesi Selatan,2023-01-27 03:46:29,2023-01-27 03:46:29,
29,Sulawesi Tengah,2023-01-27 03:46:29,2023-01-27 03:46:29,
30,Sulawesi Tenggara,2023-01-27 03:46:29,2023-01-27 03:46:29,
31,Sulawesi Utara,2023-01-27 03:46:29,2023-01-27 03:46:29,
32,Sumatera Barat,2023-01-27 03:46:29,2023-01-27 03:46:29,
33,Sumatera Selatan,2023-01-27 03:46:29,2023-01-27 03:46:29,
34,Sumatera Utara,2023-01-27 03:46:29,2023-01-27 03:46:29,
